ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
MICROSOFT CORPORATION,789019,2014-03-31,2014,Q1,5660.0,6974.0,,
MICROSOFT CORPORATION,789019,2014-06-30,2014,Q2,4612.0,6482.0,,
MICROSOFT CORPORATION,789019,2014-09-30,2014,Q3,4540.0,5844.0,,
MICROSOFT CORPORATION,789019,2014-12-31,2014,Q4,5863.0,7776.0,,
MICROSOFT CORPORATION,789019,2015-03-31,2015,Q1,4985.0,6594.0,,
MICROSOFT CORPORATION,789019,2015-06-30,2015,Q2,-3195.0,-2053.0,,
MICROSOFT CORPORATION,789019,2015-09-30,2015,Q3,4902.0,5793.0,,
MICROSOFT CORPORATION,789019,2015-12-31,2015,Q4,5018.0,6026.0,,
MICROSOFT CORPORATION,789019,2016-03-31,2016,Q1,3756.0,5283.0,,
MICROSOFT CORPORATION,789019,2016-06-30,2016,Q2,3122.0,3080.0,,
MICROSOFT CORPORATION,789019,2016-09-30,2016,Q3,5667.0,6715.0,21928.0,25.84
MICROSOFT CORPORATION,789019,2016-12-31,2016,Q4,6267.0,7905.0,25826.0,24.27
MICROSOFT CORPORATION,789019,2017-03-31,2017,Q1,5486.0,6723.0,23212.0,23.63
MICROSOFT CORPORATION,789019,2017-06-30,2017,Q2,8069.0,7682.0,25605.0,31.51
MICROSOFT CORPORATION,789019,2017-09-30,2017,Q3,6576.0,7708.0,24538.0,26.8
MICROSOFT CORPORATION,789019,2017-12-31,2017,Q4,-6302.0,8679.0,28918.0,-21.79
MICROSOFT CORPORATION,789019,2018-03-31,2018,Q1,7424.0,8292.0,26819.0,27.68
MICROSOFT CORPORATION,789019,2018-06-30,2018,Q2,8873.0,10379.0,30085.0,29.49
MICROSOFT CORPORATION,789019,2018-09-30,2018,Q3,8824.0,9955.0,29084.0,30.34
MICROSOFT CORPORATION,789019,2018-12-31,2018,Q4,8420.0,10258.0,32471.0,25.93
MICROSOFT CORPORATION,789019,2019-03-31,2019,Q1,8809.0,10341.0,30571.0,28.81
MICROSOFT CORPORATION,789019,2019-06-30,2019,Q2,13187.0,12405.0,33717.0,39.11
MICROSOFT CORPORATION,789019,2019-09-30,2019,Q3,10678.0,12686.0,33055.0,32.3
MICROSOFT CORPORATION,789019,2019-12-31,2019,Q4,11649.0,13891.0,36906.0,31.56
MICROSOFT CORPORATION,789019,2020-03-31,2020,Q1,10752.0,12975.0,35021.0,30.7
MICROSOFT CORPORATION,789019,2020-06-30,2020,Q2,11202.0,13407.0,38033.0,29.45
MICROSOFT CORPORATION,789019,2020-09-30,2020,Q3,13893.0,15876.0,37154.0,37.39
MICROSOFT CORPORATION,789019,2020-12-31,2020,Q4,15463.0,17897.0,43076.0,35.9
MICROSOFT CORPORATION,789019,2021-03-31,2021,Q1,15457.0,17048.0,41706.0,37.06
MICROSOFT CORPORATION,789019,2021-09-30,2021,Q3,20505.0,20238.0,45317.0,45.25
MICROSOFT CORPORATION,789019,2021-12-31,2021,Q4,18765.0,22247.0,51728.0,36.28
MICROSOFT CORPORATION,789019,2022-03-31,2022,Q1,16728.0,20364.0,49360.0,33.89
MICROSOFT CORPORATION,789019,2022-09-30,2022,Q3,17556.0,21518.0,50122.0,35.03
MICROSOFT CORPORATION,789019,2022-12-31,2022,Q4,16425.0,20399.0,52747.0,31.14
MICROSOFT CORPORATION,789019,2023-03-31,2023,Q1,18299.0,22352.0,52857.0,34.62
MICROSOFT CORPORATION,789019,2023-09-30,2023,Q3,22291.0,26895.0,56517.0,39.44
MICROSOFT CORPORATION,789019,2023-12-31,2023,Q4,21870.0,27032.0,62020.0,35.26
