ENTITY,CIK,DATE,Year,Quarter,ASSETS_CURRENT,LIABILITIES_CURRENT,STOCKHOLDERS_EQUITY,ASSET_TO_LIABILITY_RATIO,DEBT_TO_EQUITY_RATIO
LOCKHEED MARTIN CORPORATION,936468,2014-03-30,2014,Q1,14234.0,11995.0,4800.0,1.2,2.5
LOCKHEED MARTIN CORPORATION,936468,2014-06-29,2014,Q2,14163.0,12147.0,4319.0,1.2,2.8
LOCKHEED MARTIN CORPORATION,936468,2014-09-28,2014,Q3,13684.0,12133.0,4574.0,1.1,2.7
LOCKHEED MARTIN CORPORATION,936468,2014-12-31,2014,Q4,12322.0,11112.0,3400.0,1.1,3.3
LOCKHEED MARTIN CORPORATION,936468,2015-03-29,2015,Q1,15218.0,11567.0,3520.0,1.3,3.3
LOCKHEED MARTIN CORPORATION,936468,2015-06-28,2015,Q2,15287.0,12624.0,2982.0,1.2,4.2
LOCKHEED MARTIN CORPORATION,936468,2015-09-27,2015,Q3,15055.0,12980.0,2813.0,1.2,4.6
LOCKHEED MARTIN CORPORATION,936468,2015-12-31,2015,Q4,14573.0,13918.0,3097.0,1.0,4.5
LOCKHEED MARTIN CORPORATION,936468,2016-03-27,2016,Q1,15767.0,14912.0,3177.0,1.1,4.7
LOCKHEED MARTIN CORPORATION,936468,2016-06-26,2016,Q2,16073.0,15595.0,2997.0,1.0,5.2
LOCKHEED MARTIN CORPORATION,936468,2016-09-25,2016,Q3,17110.0,14425.0,2323.0,1.2,6.2
LOCKHEED MARTIN CORPORATION,936468,2016-12-31,2016,Q4,15108.0,12542.0,1511.0,1.2,8.3
LOCKHEED MARTIN CORPORATION,936468,2017-03-26,2017,Q1,16586.0,13597.0,1483.0,1.2,9.2
LOCKHEED MARTIN CORPORATION,936468,2017-06-25,2017,Q2,16566.0,13641.0,1265.0,1.2,10.8
LOCKHEED MARTIN CORPORATION,936468,2017-09-24,2017,Q3,17208.0,13084.0,2098.0,1.3,6.2
LOCKHEED MARTIN CORPORATION,936468,2017-12-31,2017,Q4,17505.0,12913.0,-850.0,1.4,-15.2
LOCKHEED MARTIN CORPORATION,936468,2018-03-25,2018,Q1,17816.0,13974.0,-182.0,1.3,-76.8
LOCKHEED MARTIN CORPORATION,936468,2018-06-24,2018,Q2,16504.0,13881.0,416.0,1.2,33.4
LOCKHEED MARTIN CORPORATION,936468,2018-09-30,2018,Q3,16859.0,15204.0,943.0,1.1,16.1
LOCKHEED MARTIN CORPORATION,936468,2018-12-31,2018,Q4,16103.0,14398.0,1394.0,1.1,10.3
LOCKHEED MARTIN CORPORATION,936468,2019-03-31,2019,Q1,18031.0,15403.0,2465.0,1.2,6.2
LOCKHEED MARTIN CORPORATION,936468,2019-06-30,2019,Q2,18100.0,15132.0,2850.0,1.2,5.3
LOCKHEED MARTIN CORPORATION,936468,2019-09-29,2019,Q3,19803.0,15515.0,3893.0,1.3,4.0
LOCKHEED MARTIN CORPORATION,936468,2019-12-31,2019,Q4,17095.0,13972.0,3127.0,1.2,4.5
LOCKHEED MARTIN CORPORATION,936468,2020-03-29,2020,Q1,19222.0,15652.0,3446.0,1.2,4.5
LOCKHEED MARTIN CORPORATION,936468,2020-06-28,2020,Q2,19570.0,14888.0,3751.0,1.3,4.0
LOCKHEED MARTIN CORPORATION,936468,2020-09-27,2020,Q3,20290.0,15201.0,4953.0,1.3,3.1
LOCKHEED MARTIN CORPORATION,936468,2020-12-31,2020,Q4,19378.0,13933.0,6015.0,1.4,2.3
LOCKHEED MARTIN CORPORATION,936468,2021-03-28,2021,Q1,20252.0,14717.0,6312.0,1.4,2.3
LOCKHEED MARTIN CORPORATION,936468,2021-06-27,2021,Q2,20674.0,15242.0,6522.0,1.4,2.3
LOCKHEED MARTIN CORPORATION,936468,2021-09-26,2021,Q3,21357.0,15026.0,9631.0,1.4,1.6
LOCKHEED MARTIN CORPORATION,936468,2021-12-31,2021,Q4,19815.0,13997.0,10959.0,1.4,1.3
LOCKHEED MARTIN CORPORATION,936468,2022-03-27,2022,Q1,20390.0,16047.0,10002.0,1.3,1.6
LOCKHEED MARTIN CORPORATION,936468,2022-06-26,2022,Q2,20973.0,16479.0,11432.0,1.3,1.4
LOCKHEED MARTIN CORPORATION,936468,2022-09-25,2022,Q3,20960.0,16347.0,11966.0,1.3,1.4
LOCKHEED MARTIN CORPORATION,936468,2022-12-31,2022,Q4,20991.0,15887.0,9266.0,1.3,1.7
LOCKHEED MARTIN CORPORATION,936468,2023-03-26,2023,Q1,22144.0,16982.0,9646.0,1.3,1.8
LOCKHEED MARTIN CORPORATION,936468,2023-06-25,2023,Q2,24087.0,17704.0,9240.0,1.4,1.9
LOCKHEED MARTIN CORPORATION,936468,2023-09-24,2023,Q3,23322.0,17193.0,9274.0,1.4,1.9
LOCKHEED MARTIN CORPORATION,936468,2023-12-31,2023,Q4,20521.0,16937.0,6835.0,1.2,2.5
