EntityName,CIK,Metric,end,val,start,year,quarter
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2014-12-31,-8593000000,2014-01-01,2014,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2014-12-31,2467000000,2014-01-01,2014,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2014-12-31,8858000000,2014-01-01,2014,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2015-12-31,-7920000000,2015-01-01,2015,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2015-12-31,-1846000000,2015-01-01,2015,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2015-12-31,9363000000,2015-01-01,2015,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2016-12-31,-9587000000,2016-01-01,2016,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2016-12-31,-3378000000,2016-01-01,2016,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2016-12-31,10496000000,2016-01-01,2016,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2017-12-31,-11350000000,2017-01-01,2017,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2017-12-31,-2058000000,2017-01-01,2017,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2017-12-31,13346000000,2017-01-01,2017,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2018-12-31,-11722000000,2018-01-01,2018,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2018-12-31,-4621000000,2018-01-01,2018,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2018-12-31,15322000000,2018-01-01,2018,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2019-12-31,5739000000,2019-01-01,2019,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2019-12-31,-1530000000,2019-01-01,2019,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2019-12-31,-2446000000,2019-01-01,2019,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2020-12-31,34955000000,2020-01-01,2020,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2020-12-31,-18366000000,2020-01-01,2020,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2020-12-31,-18410000000,2020-01-01,2020,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2021-12-31,-5600000000,2021-01-01,2021,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2021-12-31,9324000000,2021-01-01,2021,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2021-12-31,-3416000000,2021-01-01,2021,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2022-12-31,-1266000000,2022-01-01,2022,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2022-12-31,4370000000,2022-01-01,2022,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2022-12-31,3512000000,2022-01-01,2022,5
BOEING CO,12927,NetCashProvidedByUsedInFinancingActivities,2023-12-31,-5487000000,2023-01-01,2023,5
BOEING CO,12927,NetCashProvidedByUsedInInvestingActivities,2023-12-31,-2437000000,2023-01-01,2023,5
BOEING CO,12927,NetCashProvidedByUsedInOperatingActivities,2023-12-31,5960000000,2023-01-01,2023,5
