ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
VISA INC.,1403161,2014-03-31,2014,Q1,1598.0,2048.0,3163.0,50.52
VISA INC.,1403161,2014-06-30,2014,Q2,1360.0,2020.0,3155.0,43.11
VISA INC.,1403161,2014-12-31,2014,Q4,1569.0,2238.0,3382.0,46.39
VISA INC.,1403161,2015-03-31,2015,Q1,1550.0,2281.0,3409.0,45.47
VISA INC.,1403161,2015-06-30,2015,Q2,1697.0,2262.0,3518.0,48.24
VISA INC.,1403161,2015-12-31,2015,Q4,1941.0,2396.0,3565.0,54.45
VISA INC.,1403161,2016-03-31,2016,Q1,1707.0,2434.0,3626.0,47.08
VISA INC.,1403161,2016-06-30,2016,Q2,412.0,428.0,3630.0,11.35
VISA INC.,1403161,2016-12-31,2016,Q4,2070.0,3100.0,4461.0,46.4
VISA INC.,1403161,2017-03-31,2017,Q1,430.0,2808.0,4477.0,9.6
VISA INC.,1403161,2017-06-30,2017,Q2,2059.0,3024.0,4565.0,45.1
VISA INC.,1403161,2017-12-31,2017,Q4,2522.0,3327.0,4862.0,51.87
VISA INC.,1403161,2018-03-31,2018,Q1,2605.0,3336.0,5073.0,51.35
VISA INC.,1403161,2018-06-30,2018,Q2,2329.0,2885.0,5240.0,44.45
VISA INC.,1403161,2018-12-31,2018,Q4,2977.0,3717.0,5506.0,54.07
VISA INC.,1403161,2019-03-31,2019,Q1,2977.0,3641.0,5494.0,54.19
VISA INC.,1403161,2019-06-30,2019,Q2,3101.0,3908.0,5840.0,53.1
VISA INC.,1403161,2019-12-31,2019,Q4,3272.0,4016.0,,
VISA INC.,1403161,2020-03-31,2020,Q1,3084.0,3924.0,,
VISA INC.,1403161,2020-06-30,2020,Q2,2373.0,2999.0,,
VISA INC.,1403161,2020-12-31,2020,Q4,3126.0,3844.0,,
VISA INC.,1403161,2021-03-31,2021,Q1,3026.0,3581.0,,
VISA INC.,1403161,2021-06-30,2021,Q2,2575.0,4064.0,,
VISA INC.,1403161,2021-12-31,2021,Q4,3959.0,4776.0,,
VISA INC.,1403161,2022-03-31,2022,Q1,3647.0,4802.0,,
VISA INC.,1403161,2022-06-30,2022,Q2,3411.0,4148.0,,
VISA INC.,1403161,2022-12-31,2022,Q4,4179.0,5090.0,,
VISA INC.,1403161,2023-03-31,2023,Q1,4257.0,5336.0,,
VISA INC.,1403161,2023-06-30,2023,Q2,4156.0,5024.0,,
VISA INC.,1403161,2023-12-31,2023,Q4,4890.0,5954.0,,
