ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
TERADATA CORPORATION,816761,2014-03-31,2014,Q1,1659.0,882.0,1.88
TERADATA CORPORATION,816761,2014-06-30,2014,Q2,1637.0,846.0,1.93
TERADATA CORPORATION,816761,2014-09-30,2014,Q3,1506.0,771.0,1.95
TERADATA CORPORATION,816761,2014-12-31,2014,Q4,1572.0,995.0,1.58
TERADATA CORPORATION,816761,2015-03-31,2015,Q1,1591.0,850.0,1.87
TERADATA CORPORATION,816761,2015-06-30,2015,Q2,1577.0,757.0,2.08
TERADATA CORPORATION,816761,2015-09-30,2015,Q3,1514.0,838.0,1.81
TERADATA CORPORATION,816761,2015-12-31,2015,Q4,1734.0,953.0,1.82
TERADATA CORPORATION,816761,2016-03-31,2016,Q1,1677.0,968.0,1.73
TERADATA CORPORATION,816761,2016-06-30,2016,Q2,1595.0,819.0,1.95
TERADATA CORPORATION,816761,2016-09-30,2016,Q3,1517.0,688.0,2.2
TERADATA CORPORATION,816761,2016-12-31,2016,Q4,1621.0,729.0,2.22
TERADATA CORPORATION,816761,2017-03-31,2017,Q1,1704.0,835.0,2.04
TERADATA CORPORATION,816761,2017-06-30,2017,Q2,1548.0,792.0,1.95
TERADATA CORPORATION,816761,2017-09-30,2017,Q3,1508.0,936.0,1.61
TERADATA CORPORATION,816761,2017-12-31,2017,Q4,1750.0,1063.0,1.65
TERADATA CORPORATION,816761,2018-03-31,2018,Q1,1530.0,913.0,1.68
TERADATA CORPORATION,816761,2018-06-30,2018,Q2,1383.0,774.0,1.79
TERADATA CORPORATION,816761,2018-09-30,2018,Q3,1284.0,725.0,1.77
TERADATA CORPORATION,816761,2018-12-31,2018,Q4,1428.0,1009.0,1.42
TERADATA CORPORATION,816761,2019-03-31,2019,Q1,1302.0,914.0,1.42
TERADATA CORPORATION,816761,2019-06-30,2019,Q2,1129.0,865.0,1.31
TERADATA CORPORATION,816761,2019-09-30,2019,Q3,978.0,772.0,1.27
TERADATA CORPORATION,816761,2019-12-31,2019,Q4,1014.0,886.0,1.14
TERADATA CORPORATION,816761,2020-03-31,2020,Q1,974.0,906.0,1.08
TERADATA CORPORATION,816761,2020-06-30,2020,Q2,948.0,893.0,1.06
TERADATA CORPORATION,816761,2020-09-30,2020,Q3,965.0,895.0,1.08
TERADATA CORPORATION,816761,2020-12-31,2020,Q4,1044.0,952.0,1.1
TERADATA CORPORATION,816761,2021-03-31,2021,Q1,1075.0,955.0,1.13
TERADATA CORPORATION,816761,2021-06-30,2021,Q2,1146.0,998.0,1.15
TERADATA CORPORATION,816761,2021-09-30,2021,Q3,1064.0,955.0,1.11
TERADATA CORPORATION,816761,2021-12-31,2021,Q4,1106.0,1033.0,1.07
TERADATA CORPORATION,816761,2022-03-31,2022,Q1,863.0,993.0,0.87
TERADATA CORPORATION,816761,2022-06-30,2022,Q2,921.0,878.0,1.05
TERADATA CORPORATION,816761,2022-09-30,2022,Q3,855.0,803.0,1.06
TERADATA CORPORATION,816761,2022-12-31,2022,Q4,1028.0,1007.0,1.02
TERADATA CORPORATION,816761,2023-03-31,2023,Q1,1006.0,999.0,1.01
TERADATA CORPORATION,816761,2023-06-30,2023,Q2,880.0,910.0,0.97
TERADATA CORPORATION,816761,2023-09-30,2023,Q3,738.0,885.0,0.83
TERADATA CORPORATION,816761,2023-12-31,2023,Q4,869.0,996.0,0.87
