ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
TERADATA CORPORATION,816761,2014-03-31,2014,Q1,59.0,89.0,,
TERADATA CORPORATION,816761,2014-06-30,2014,Q2,96.0,133.0,,
TERADATA CORPORATION,816761,2014-09-30,2014,Q3,94.0,123.0,,
TERADATA CORPORATION,816761,2014-12-31,2014,Q4,118.0,158.0,,
TERADATA CORPORATION,816761,2015-03-31,2015,Q1,22.0,30.0,,
TERADATA CORPORATION,816761,2015-06-30,2015,Q2,-265.0,-262.0,,
TERADATA CORPORATION,816761,2015-09-30,2015,Q3,78.0,77.0,,
TERADATA CORPORATION,816761,2015-12-31,2015,Q4,-49.0,-40.0,,
TERADATA CORPORATION,816761,2016-03-31,2016,Q1,-46.0,-42.0,,
TERADATA CORPORATION,816761,2016-06-30,2016,Q2,64.0,87.0,,
TERADATA CORPORATION,816761,2016-09-30,2016,Q3,49.0,89.0,,
TERADATA CORPORATION,816761,2016-12-31,2016,Q4,58.0,98.0,,
TERADATA CORPORATION,816761,2017-03-31,2017,Q1,-2.0,0.0,491.0,-0.41
TERADATA CORPORATION,816761,2017-06-30,2017,Q2,-4.0,-1.0,513.0,-0.78
TERADATA CORPORATION,816761,2017-09-30,2017,Q3,13.0,9.0,526.0,2.47
TERADATA CORPORATION,816761,2017-12-31,2017,Q4,-74.0,60.0,626.0,-11.82
TERADATA CORPORATION,816761,2018-03-31,2018,Q1,-7.0,-4.0,506.0,-1.38
TERADATA CORPORATION,816761,2018-06-30,2018,Q2,4.0,10.0,544.0,0.74
TERADATA CORPORATION,816761,2018-09-30,2018,Q3,18.0,14.0,526.0,3.42
TERADATA CORPORATION,816761,2018-12-31,2018,Q4,15.0,23.0,588.0,2.55
TERADATA CORPORATION,816761,2019-03-31,2019,Q1,-10.0,-5.0,468.0,-2.14
TERADATA CORPORATION,816761,2019-06-30,2019,Q2,-1.0,10.0,478.0,-0.21
TERADATA CORPORATION,816761,2019-09-30,2019,Q3,10.0,10.0,459.0,2.18
TERADATA CORPORATION,816761,2019-12-31,2019,Q4,-19.0,-5.0,494.0,-3.85
TERADATA CORPORATION,816761,2020-03-31,2020,Q1,168.0,-6.0,434.0,38.71
TERADATA CORPORATION,816761,2020-06-30,2020,Q2,-43.0,8.0,457.0,-9.41
TERADATA CORPORATION,816761,2020-09-30,2020,Q3,-1.0,1.0,454.0,-0.22
TERADATA CORPORATION,816761,2021-03-31,2021,Q1,53.0,81.0,491.0,10.79
TERADATA CORPORATION,816761,2021-06-30,2021,Q2,44.0,70.0,491.0,8.96
TERADATA CORPORATION,816761,2021-09-30,2021,Q3,17.0,30.0,460.0,3.7
TERADATA CORPORATION,816761,2022-03-31,2022,Q1,36.0,68.0,496.0,7.26
TERADATA CORPORATION,816761,2022-06-30,2022,Q2,-4.0,14.0,430.0,-0.93
TERADATA CORPORATION,816761,2022-09-30,2022,Q3,8.0,25.0,417.0,1.92
TERADATA CORPORATION,816761,2023-03-31,2023,Q1,40.0,79.0,476.0,8.4
TERADATA CORPORATION,816761,2023-06-30,2023,Q2,17.0,33.0,462.0,3.68
TERADATA CORPORATION,816761,2023-09-30,2023,Q3,12.0,27.0,438.0,2.74
