ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
"HOME DEPOT, INC.",354950,2014-02-02,2013,5,-6652.0,-1507.0,7628.0
"HOME DEPOT, INC.",354950,2015-02-01,2014,5,-7071.0,-1271.0,8242.0
"HOME DEPOT, INC.",354950,2016-01-31,2015,5,-5787.0,-2982.0,9373.0
"HOME DEPOT, INC.",354950,2017-01-29,2016,5,-7870.0,-1583.0,9783.0
"HOME DEPOT, INC.",354950,2018-01-28,2017,5,-8870.0,-2228.0,12031.0
"HOME DEPOT, INC.",354950,2019-02-03,2018,5,-12547.0,-2416.0,13165.0
"HOME DEPOT, INC.",354950,2020-02-02,2019,5,-10798.0,-2653.0,13687.0
"HOME DEPOT, INC.",354950,2021-01-31,2020,5,-2983.0,-10170.0,18839.0
"HOME DEPOT, INC.",354950,2022-01-30,2021,5,-19120.0,-2969.0,16571.0
"HOME DEPOT, INC.",354950,2023-01-29,2022,5,-10993.0,-3140.0,14615.0
