ENTITY,CIK,DATE,Year,Quarter,ASSETS_CURRENT,LIABILITIES_CURRENT,STOCKHOLDERS_EQUITY,ASSET_TO_LIABILITY_RATIO,DEBT_TO_EQUITY_RATIO
Oracle Corporation,1341439,2014-02-28,2014,Q1,44404.0,13092.0,44707.0,3.4,0.3
Oracle Corporation,1341439,2014-05-31,2014,Q2,48128.0,14389.0,46878.0,3.3,0.3
Oracle Corporation,1341439,2014-08-31,2014,Q3,58194.0,13377.0,47354.0,4.4,0.3
Oracle Corporation,1341439,2014-11-30,2014,Q4,52040.0,11985.0,47543.0,4.3,0.3
Oracle Corporation,1341439,2015-02-28,2015,Q1,51294.0,13792.0,48095.0,3.7,0.3
Oracle Corporation,1341439,2015-05-31,2015,Q2,62520.0,15206.0,48663.0,4.1,0.3
Oracle Corporation,1341439,2015-08-31,2015,Q3,62122.0,15391.0,47097.0,4.0,0.3
Oracle Corporation,1341439,2015-11-30,2015,Q4,58618.0,13754.0,45924.0,4.3,0.3
Oracle Corporation,1341439,2016-02-29,2016,Q1,57069.0,11825.0,45870.0,4.8,0.3
Oracle Corporation,1341439,2016-05-31,2016,Q2,64313.0,17208.0,47289.0,3.7,0.4
Oracle Corporation,1341439,2016-08-31,2016,Q3,74451.0,15142.0,47435.0,4.9,0.3
Oracle Corporation,1341439,2016-11-30,2016,Q4,64734.0,16347.0,48462.0,4.0,0.3
Oracle Corporation,1341439,2017-02-28,2017,Q1,66011.0,15790.0,50615.0,4.2,0.3
Oracle Corporation,1341439,2017-05-31,2017,Q2,74515.0,24178.0,53860.0,3.1,0.4
Oracle Corporation,1341439,2017-08-31,2017,Q3,73335.0,20226.0,55959.0,3.6,0.4
Oracle Corporation,1341439,2017-11-30,2017,Q4,78545.0,15494.0,55868.0,5.1,0.3
Oracle Corporation,1341439,2018-02-28,2018,Q1,77732.0,17968.0,47789.0,4.3,0.4
Oracle Corporation,1341439,2018-05-31,2018,Q2,76159.0,19124.0,46372.0,4.0,0.4
Oracle Corporation,1341439,2018-08-31,2018,Q3,67009.0,19562.0,38067.0,3.4,0.5
Oracle Corporation,1341439,2018-11-30,2018,Q4,56938.0,20315.0,30572.0,2.8,0.7
Oracle Corporation,1341439,2019-02-28,2019,Q1,47617.0,17986.0,23714.0,2.6,0.8
Oracle Corporation,1341439,2019-05-31,2019,Q2,46386.0,18630.0,21785.0,2.5,0.9
Oracle Corporation,1341439,2019-08-31,2019,Q3,42384.0,18875.0,18433.0,2.2,1.0
Oracle Corporation,1341439,2019-11-30,2019,Q4,34540.0,14592.0,15563.0,2.4,0.9
Oracle Corporation,1341439,2020-02-29,2020,Q1,33442.0,15740.0,14235.0,2.1,1.1
Oracle Corporation,1341439,2020-05-31,2020,Q2,52140.0,17200.0,12074.0,3.0,1.4
Oracle Corporation,1341439,2020-08-31,2020,Q3,49939.0,18748.0,9491.0,2.7,2.0
Oracle Corporation,1341439,2020-11-30,2020,Q4,46251.0,21347.0,7917.0,2.2,2.7
Oracle Corporation,1341439,2021-02-28,2021,Q1,43744.0,20250.0,8900.0,2.2,2.3
Oracle Corporation,1341439,2021-05-31,2021,Q2,55567.0,24164.0,5238.0,2.3,4.6
Oracle Corporation,1341439,2021-08-31,2021,Q3,47117.0,23071.0,-1541.0,2.0,-15.0
Oracle Corporation,1341439,2021-11-30,2021,Q4,31078.0,18881.0,-10101.0,1.6,-1.9
Oracle Corporation,1341439,2022-02-28,2022,Q1,31675.0,20833.0,-8696.0,1.5,-2.4
Oracle Corporation,1341439,2022-05-31,2022,Q2,31633.0,19511.0,-6220.0,1.6,-3.1
Oracle Corporation,1341439,2022-08-31,2022,Q3,21004.0,34819.0,-5875.0,0.6,-5.9
Oracle Corporation,1341439,2022-11-30,2022,Q4,17561.0,27106.0,-4246.0,0.6,-6.4
Oracle Corporation,1341439,2023-02-28,2023,Q1,18696.0,22880.0,-2421.0,0.8,-9.5
Oracle Corporation,1341439,2023-05-31,2023,Q2,21004.0,23090.0,1073.0,0.9,21.5
Oracle Corporation,1341439,2023-08-31,2023,Q3,22166.0,25357.0,2370.0,0.9,10.7
Oracle Corporation,1341439,2023-11-30,2023,Q4,19289.0,24407.0,3866.0,0.8,6.3
