ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
"Salesforce, Inc.",1108524,2014-01-31,2013,Q4,-116.623,-103.746,,
"Salesforce, Inc.",1108524,2014-04-30,2014,Q1,-96.911,-55.341,,
"Salesforce, Inc.",1108524,2014-07-31,2014,Q2,-61.088,-33.434,,
"Salesforce, Inc.",1108524,2014-10-31,2014,Q3,-38.924,-22.042,,
"Salesforce, Inc.",1108524,2015-01-31,2014,Q4,-65.765,-34.816,,
"Salesforce, Inc.",1108524,2015-04-30,2015,Q1,4.092,31.105,,
"Salesforce, Inc.",1108524,2015-07-31,2015,Q2,-0.852,19.824,,
"Salesforce, Inc.",1108524,2015-10-31,2015,Q3,-25.157,43.434,,
"Salesforce, Inc.",1108524,2016-01-31,2015,Q4,-25.509,20.56,,
"Salesforce, Inc.",1108524,2016-04-30,2016,Q1,38.759,51.986,,
"Salesforce, Inc.",1108524,2016-07-31,2016,Q2,229.622,32.551,,
"Salesforce, Inc.",1108524,2016-10-31,2016,Q3,-37.309,3.036,,
"Salesforce, Inc.",1108524,2017-01-31,2016,Q4,-51.44,-23.345,,
"Salesforce, Inc.",1108524,2017-04-30,2017,Q1,1.0,4.0,2397.0,0.04
"Salesforce, Inc.",1108524,2017-07-31,2017,Q2,46.0,84.0,2577.0,1.79
"Salesforce, Inc.",1108524,2017-10-31,2017,Q3,107.0,155.0,2701.0,3.96
"Salesforce, Inc.",1108524,2018-01-31,2017,Q4,206.0,211.0,2865.0,7.19
"Salesforce, Inc.",1108524,2018-04-30,2018,Q1,344.0,191.0,3006.0,11.44
"Salesforce, Inc.",1108524,2018-07-31,2018,Q2,299.0,115.0,3281.0,9.11
"Salesforce, Inc.",1108524,2018-10-31,2018,Q3,105.0,92.0,3392.0,3.1
"Salesforce, Inc.",1108524,2019-01-31,2018,Q4,362.0,137.0,3603.0,10.05
"Salesforce, Inc.",1108524,2019-04-30,2019,Q1,392.0,210.0,3737.0,10.49
"Salesforce, Inc.",1108524,2019-07-31,2019,Q2,91.0,58.0,3997.0,2.28
"Salesforce, Inc.",1108524,2019-10-31,2019,Q3,-109.0,65.0,4513.0,-2.42
"Salesforce, Inc.",1108524,2020-01-31,2019,Q4,-248.0,-36.0,4851.0,-5.11
"Salesforce, Inc.",1108524,2020-04-30,2020,Q1,99.0,-140.0,4865.0,2.03
"Salesforce, Inc.",1108524,2020-07-31,2020,Q2,2625.0,178.0,5151.0,50.96
"Salesforce, Inc.",1108524,2020-10-31,2020,Q3,1081.0,224.0,5419.0,19.95
"Salesforce, Inc.",1108524,2021-04-30,2021,Q1,469.0,354.0,5963.0,7.87
"Salesforce, Inc.",1108524,2021-07-31,2021,Q2,535.0,332.0,6340.0,8.44
"Salesforce, Inc.",1108524,2021-10-31,2021,Q3,468.0,38.0,6863.0,6.82
"Salesforce, Inc.",1108524,2022-04-30,2022,Q1,28.0,20.0,7411.0,0.38
"Salesforce, Inc.",1108524,2022-07-31,2022,Q2,68.0,193.0,7720.0,0.88
"Salesforce, Inc.",1108524,2022-10-31,2022,Q3,210.0,460.0,7837.0,2.68
"Salesforce, Inc.",1108524,2023-04-30,2023,Q1,199.0,412.0,8247.0,2.41
"Salesforce, Inc.",1108524,2023-07-31,2023,Q2,1267.0,1476.0,8603.0,14.73
"Salesforce, Inc.",1108524,2023-10-31,2023,Q3,1224.0,1501.0,8720.0,14.04
