ENTITY,CIK,DATE,Year,Quarter,ASSETS_CURRENT,LIABILITIES_CURRENT,STOCKHOLDERS_EQUITY,ASSET_TO_LIABILITY_RATIO,DEBT_TO_EQUITY_RATIO
"HOME DEPOT, INC.",354950,2014-02-02,2013,Q4,15279.0,10749.0,12522.0,1.4,0.9
"HOME DEPOT, INC.",354950,2014-05-04,2014,Q1,17515.0,13265.0,12146.0,1.3,1.1
"HOME DEPOT, INC.",354950,2014-08-03,2014,Q2,18491.0,12839.0,11457.0,1.4,1.1
"HOME DEPOT, INC.",354950,2014-11-02,2014,Q3,16749.0,12260.0,10110.0,1.4,1.2
"HOME DEPOT, INC.",354950,2015-02-01,2014,Q4,15302.0,11269.0,9322.0,1.4,1.2
"HOME DEPOT, INC.",354950,2015-05-03,2015,Q1,17995.0,17005.0,9204.0,1.1,1.8
"HOME DEPOT, INC.",354950,2015-08-02,2015,Q2,19531.0,16399.0,8637.0,1.2,1.9
"HOME DEPOT, INC.",354950,2015-11-01,2015,Q3,18606.0,15976.0,7619.0,1.2,2.1
"HOME DEPOT, INC.",354950,2016-01-31,2015,Q4,16484.0,12524.0,6316.0,1.3,2.0
"HOME DEPOT, INC.",354950,2016-05-01,2016,Q1,19010.0,15149.0,6335.0,1.3,2.4
"HOME DEPOT, INC.",354950,2016-07-31,2016,Q2,18941.0,14525.0,6657.0,1.3,2.2
"HOME DEPOT, INC.",354950,2016-10-30,2016,Q3,19348.0,14431.0,5622.0,1.3,2.6
"HOME DEPOT, INC.",354950,2017-01-29,2016,Q4,17724.0,14133.0,4333.0,1.3,3.3
"HOME DEPOT, INC.",354950,2017-04-30,2017,Q1,19896.0,16438.0,3962.0,1.2,4.1
"HOME DEPOT, INC.",354950,2017-07-30,2017,Q2,20511.0,15823.0,3554.0,1.3,4.5
"HOME DEPOT, INC.",354950,2017-10-29,2017,Q3,19682.0,16002.0,2543.0,1.2,6.3
"HOME DEPOT, INC.",354950,2018-01-28,2017,Q4,18933.0,16194.0,1454.0,1.2,11.1
"HOME DEPOT, INC.",354950,2018-04-29,2018,Q1,21214.0,18133.0,1687.0,1.2,10.7
"HOME DEPOT, INC.",354950,2018-07-29,2018,Q2,20802.0,18426.0,2009.0,1.1,9.2
"HOME DEPOT, INC.",354950,2018-10-28,2018,Q3,19809.0,18196.0,1320.0,1.1,13.8
"HOME DEPOT, INC.",354950,2019-02-03,2018,Q4,18529.0,16716.0,-1878.0,1.1,-8.9
"HOME DEPOT, INC.",354950,2019-05-05,2019,Q1,20553.0,19673.0,-2143.0,1.0,-9.2
"HOME DEPOT, INC.",354950,2019-08-04,2019,Q2,20699.0,18798.0,-1160.0,1.1,-16.2
"HOME DEPOT, INC.",354950,2019-11-03,2019,Q3,21174.0,19565.0,-1082.0,1.1,-18.1
"HOME DEPOT, INC.",354950,2020-02-02,2019,Q4,19810.0,18375.0,-3116.0,1.1,-5.9
"HOME DEPOT, INC.",354950,2020-05-03,2020,Q1,27277.0,23348.0,-3490.0,1.2,-6.7
"HOME DEPOT, INC.",354950,2020-08-02,2020,Q2,31361.0,24199.0,-414.0,1.3,-58.5
"HOME DEPOT, INC.",354950,2020-11-01,2020,Q3,34505.0,25395.0,1535.0,1.4,16.5
"HOME DEPOT, INC.",354950,2021-01-31,2020,Q4,28477.0,23166.0,3299.0,1.2,7.0
"HOME DEPOT, INC.",354950,2021-05-02,2021,Q1,30672.0,27758.0,1748.0,1.1,15.9
"HOME DEPOT, INC.",354950,2021-08-01,2021,Q2,28262.0,26666.0,2069.0,1.1,12.9
"HOME DEPOT, INC.",354950,2021-10-31,2021,Q3,30466.0,26903.0,1035.0,1.1,26.0
"HOME DEPOT, INC.",354950,2022-01-30,2021,Q4,29055.0,28693.0,-1696.0,1.0,-16.9
"HOME DEPOT, INC.",354950,2022-05-01,2022,Q1,33867.0,30387.0,-1709.0,1.1,-17.8
"HOME DEPOT, INC.",354950,2022-07-31,2022,Q2,32941.0,27834.0,237.0,1.2,117.4
"HOME DEPOT, INC.",354950,2022-10-30,2022,Q3,33681.0,24280.0,1298.0,1.4,18.7
"HOME DEPOT, INC.",354950,2023-01-29,2022,Q4,32471.0,23110.0,1562.0,1.4,14.8
"HOME DEPOT, INC.",354950,2023-04-30,2023,Q1,32423.0,25446.0,362.0,1.3,70.3
"HOME DEPOT, INC.",354950,2023-07-30,2023,Q2,31830.0,24227.0,1335.0,1.3,18.1
"HOME DEPOT, INC.",354950,2023-10-29,2023,Q3,30682.0,23572.0,1430.0,1.3,16.5
