ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
VISA INC.,1403161,2014-03-31,2014,Q1,8507.0,4961.0,1.71
VISA INC.,1403161,2014-06-30,2014,Q2,9025.0,5314.0,1.7
VISA INC.,1403161,2014-09-30,2014,Q3,9562.0,6006.0,1.59
VISA INC.,1403161,2014-12-31,2014,Q4,9864.0,5798.0,1.7
VISA INC.,1403161,2015-03-31,2015,Q1,10105.0,5443.0,1.86
VISA INC.,1403161,2015-06-30,2015,Q2,10068.0,5789.0,1.74
VISA INC.,1403161,2015-09-30,2015,Q3,10021.0,5355.0,1.87
VISA INC.,1403161,2015-12-31,2015,Q4,25473.0,5357.0,4.76
VISA INC.,1403161,2016-03-31,2016,Q1,24303.0,5125.0,4.74
VISA INC.,1403161,2016-06-30,2016,Q2,14374.0,7783.0,1.85
VISA INC.,1403161,2016-09-30,2016,Q3,14313.0,8046.0,1.78
VISA INC.,1403161,2016-12-31,2016,Q4,14689.0,10341.0,1.42
VISA INC.,1403161,2017-03-31,2017,Q1,15505.0,10206.0,1.52
VISA INC.,1403161,2017-06-30,2017,Q2,15718.0,9511.0,1.65
VISA INC.,1403161,2017-09-30,2017,Q3,19023.0,9994.0,1.9
VISA INC.,1403161,2017-12-31,2017,Q4,17287.0,8363.0,2.07
VISA INC.,1403161,2018-03-31,2018,Q1,18536.0,9551.0,1.94
VISA INC.,1403161,2018-06-30,2018,Q2,18491.0,10934.0,1.69
VISA INC.,1403161,2018-09-30,2018,Q3,18216.0,11305.0,1.61
VISA INC.,1403161,2018-12-31,2018,Q4,20107.0,13389.0,1.5
VISA INC.,1403161,2019-03-31,2019,Q1,18490.0,11380.0,1.62
VISA INC.,1403161,2019-06-30,2019,Q2,18305.0,10829.0,1.69
VISA INC.,1403161,2019-09-30,2019,Q3,20970.0,13415.0,1.56
VISA INC.,1403161,2019-12-31,2019,Q4,22319.0,17579.0,1.27
VISA INC.,1403161,2020-03-31,2020,Q1,19907.0,15942.0,1.25
VISA INC.,1403161,2020-06-30,2020,Q2,25011.0,16100.0,1.55
VISA INC.,1403161,2020-09-30,2020,Q3,27645.0,14510.0,1.91
VISA INC.,1403161,2020-12-31,2020,Q4,26280.0,12390.0,2.12
VISA INC.,1403161,2021-03-31,2021,Q1,26901.0,12711.0,2.12
VISA INC.,1403161,2021-06-30,2021,Q2,28042.0,14023.0,2.0
VISA INC.,1403161,2021-09-30,2021,Q3,27607.0,15739.0,1.75
VISA INC.,1403161,2021-12-31,2021,Q4,25906.0,18568.0,1.4
VISA INC.,1403161,2022-03-31,2022,Q1,24091.0,18702.0,1.29
VISA INC.,1403161,2022-06-30,2022,Q2,28971.0,20309.0,1.43
VISA INC.,1403161,2022-09-30,2022,Q3,30205.0,20853.0,1.45
VISA INC.,1403161,2022-12-31,2022,Q4,27859.0,19353.0,1.44
VISA INC.,1403161,2023-03-31,2023,Q1,28657.0,19097.0,1.5
VISA INC.,1403161,2023-06-30,2023,Q2,31670.0,21230.0,1.49
VISA INC.,1403161,2023-09-30,2023,Q3,33532.0,23098.0,1.45
VISA INC.,1403161,2023-12-31,2023,Q4,32732.0,22634.0,1.45
