ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
"Salesforce, Inc.",1108524,2015-01-31,2014,5,-318.211,-698.36,1181.444
"Salesforce, Inc.",1108524,2016-01-31,2015,5,73.152,-1487.878,1672.081
"Salesforce, Inc.",1108524,2017-01-31,2016,5,998.0,-2684.0,2162.0
"Salesforce, Inc.",1108524,2018-01-31,2017,5,221.0,-2011.0,2738.0
"Salesforce, Inc.",1108524,2019-01-31,2018,5,2010.0,-5308.0,3398.0
"Salesforce, Inc.",1108524,2020-01-31,2019,5,164.0,-2980.0,4331.0
"Salesforce, Inc.",1108524,2021-01-31,2020,5,1194.0,-3971.0,4801.0
"Salesforce, Inc.",1108524,2022-01-31,2021,5,7838.0,-14536.0,6000.0
"Salesforce, Inc.",1108524,2023-01-31,2022,5,-3562.0,-1989.0,7111.0
"Salesforce, Inc.",1108524,2024-01-31,2023,5,-7477.0,-1327.0,10234.0
