ENTITY,CIK,DATE,Year,Quarter,ASSETS_CURRENT,LIABILITIES_CURRENT,STOCKHOLDERS_EQUITY,ASSET_TO_LIABILITY_RATIO,DEBT_TO_EQUITY_RATIO
TERADATA CORPORATION,816761,2014-03-31,2014,Q1,1659.0,882.0,1849.0,1.9,0.5
TERADATA CORPORATION,816761,2014-06-30,2014,Q2,1637.0,846.0,1862.0,1.9,0.5
TERADATA CORPORATION,816761,2014-09-30,2014,Q3,1506.0,771.0,1842.0,2.0,0.4
TERADATA CORPORATION,816761,2014-12-31,2014,Q4,1572.0,995.0,1707.0,1.6,0.6
TERADATA CORPORATION,816761,2015-03-31,2015,Q1,1591.0,850.0,1444.0,1.9,0.6
TERADATA CORPORATION,816761,2015-06-30,2015,Q2,1577.0,757.0,1186.0,2.1,0.6
TERADATA CORPORATION,816761,2015-09-30,2015,Q3,1514.0,838.0,996.0,1.8,0.8
TERADATA CORPORATION,816761,2015-12-31,2015,Q4,1734.0,953.0,849.0,1.8,1.1
TERADATA CORPORATION,816761,2016-03-31,2016,Q1,1677.0,968.0,794.0,1.7,1.2
TERADATA CORPORATION,816761,2016-06-30,2016,Q2,1595.0,819.0,864.0,1.9,0.9
TERADATA CORPORATION,816761,2016-09-30,2016,Q3,1517.0,688.0,932.0,2.2,0.7
TERADATA CORPORATION,816761,2016-12-31,2016,Q4,1621.0,729.0,971.0,2.2,0.8
TERADATA CORPORATION,816761,2017-03-31,2017,Q1,1704.0,835.0,954.0,2.0,0.9
TERADATA CORPORATION,816761,2017-06-30,2017,Q2,1548.0,792.0,872.0,2.0,0.9
TERADATA CORPORATION,816761,2017-09-30,2017,Q3,1508.0,936.0,719.0,1.6,1.3
TERADATA CORPORATION,816761,2017-12-31,2017,Q4,1750.0,1063.0,668.0,1.6,1.6
TERADATA CORPORATION,816761,2018-03-31,2018,Q1,1530.0,913.0,644.0,1.7,1.4
TERADATA CORPORATION,816761,2018-06-30,2018,Q2,1383.0,774.0,572.0,1.8,1.4
TERADATA CORPORATION,816761,2018-09-30,2018,Q3,1284.0,725.0,560.0,1.8,1.3
TERADATA CORPORATION,816761,2018-12-31,2018,Q4,1428.0,1009.0,495.0,1.4,2.0
TERADATA CORPORATION,816761,2019-03-31,2019,Q1,1302.0,914.0,467.0,1.4,2.0
TERADATA CORPORATION,816761,2019-06-30,2019,Q2,1129.0,865.0,367.0,1.3,2.4
TERADATA CORPORATION,816761,2019-09-30,2019,Q3,978.0,772.0,328.0,1.3,2.4
TERADATA CORPORATION,816761,2019-12-31,2019,Q4,1014.0,886.0,262.0,1.1,3.4
TERADATA CORPORATION,816761,2020-03-31,2020,Q1,974.0,906.0,349.0,1.1,2.6
TERADATA CORPORATION,816761,2020-06-30,2020,Q2,948.0,893.0,346.0,1.1,2.6
TERADATA CORPORATION,816761,2020-09-30,2020,Q3,965.0,895.0,384.0,1.1,2.3
TERADATA CORPORATION,816761,2020-12-31,2020,Q4,1044.0,952.0,400.0,1.1,2.4
TERADATA CORPORATION,816761,2021-03-31,2021,Q1,1075.0,955.0,417.0,1.1,2.3
TERADATA CORPORATION,816761,2021-06-30,2021,Q2,1146.0,998.0,471.0,1.1,2.1
TERADATA CORPORATION,816761,2021-09-30,2021,Q3,1064.0,955.0,457.0,1.1,2.1
TERADATA CORPORATION,816761,2021-12-31,2021,Q4,1106.0,1033.0,460.0,1.1,2.2
TERADATA CORPORATION,816761,2022-03-31,2022,Q1,863.0,993.0,237.0,0.9,4.2
TERADATA CORPORATION,816761,2022-06-30,2022,Q2,921.0,878.0,222.0,1.0,4.0
TERADATA CORPORATION,816761,2022-09-30,2022,Q3,855.0,803.0,235.0,1.1,3.4
TERADATA CORPORATION,816761,2022-12-31,2022,Q4,1028.0,1007.0,258.0,1.0,3.9
TERADATA CORPORATION,816761,2023-03-31,2023,Q1,1006.0,999.0,230.0,1.0,4.3
TERADATA CORPORATION,816761,2023-06-30,2023,Q2,880.0,910.0,218.0,1.0,4.2
TERADATA CORPORATION,816761,2023-09-30,2023,Q3,738.0,885.0,122.0,0.8,7.3
TERADATA CORPORATION,816761,2023-12-31,2023,Q4,869.0,996.0,135.0,0.9,7.4
