ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
Apple Inc.,320193,2014-03-29,2014,Q1,70541.0,43208.0,1.63
Apple Inc.,320193,2014-06-28,2014,Q2,67949.0,46205.0,1.47
Apple Inc.,320193,2014-09-27,2014,Q3,68531.0,63448.0,1.08
Apple Inc.,320193,2014-12-27,2014,Q4,83403.0,73611.0,1.13
Apple Inc.,320193,2015-03-28,2015,Q1,67891.0,58729.0,1.16
Apple Inc.,320193,2015-06-27,2015,Q2,70953.0,65285.0,1.09
Apple Inc.,320193,2015-09-26,2015,Q3,89378.0,80610.0,1.11
Apple Inc.,320193,2015-12-26,2015,Q4,76219.0,76092.0,1.0
Apple Inc.,320193,2016-03-26,2016,Q1,87592.0,68265.0,1.28
Apple Inc.,320193,2016-06-25,2016,Q2,93761.0,71486.0,1.31
Apple Inc.,320193,2016-09-24,2016,Q3,106869.0,79006.0,1.35
Apple Inc.,320193,2016-12-31,2016,Q4,103332.0,84130.0,1.23
Apple Inc.,320193,2017-04-01,2017,Q1,101990.0,73342.0,1.39
Apple Inc.,320193,2017-07-01,2017,Q2,112875.0,81302.0,1.39
Apple Inc.,320193,2017-09-30,2017,Q3,128645.0,100814.0,1.28
Apple Inc.,320193,2017-12-30,2017,Q4,143810.0,115788.0,1.24
Apple Inc.,320193,2018-03-31,2018,Q1,130053.0,89320.0,1.46
Apple Inc.,320193,2018-06-30,2018,Q2,115761.0,88548.0,1.31
Apple Inc.,320193,2018-09-29,2018,Q3,131339.0,115929.0,1.13
Apple Inc.,320193,2018-12-29,2018,Q4,140828.0,108283.0,1.3
Apple Inc.,320193,2019-03-30,2019,Q1,123346.0,93772.0,1.32
Apple Inc.,320193,2019-06-29,2019,Q2,134973.0,89704.0,1.5
Apple Inc.,320193,2019-09-28,2019,Q3,162819.0,105718.0,1.54
Apple Inc.,320193,2019-12-28,2019,Q4,163231.0,102161.0,1.6
Apple Inc.,320193,2020-03-28,2020,Q1,143753.0,96094.0,1.5
Apple Inc.,320193,2020-06-27,2020,Q2,140065.0,95318.0,1.47
Apple Inc.,320193,2020-09-26,2020,Q3,143713.0,105392.0,1.36
Apple Inc.,320193,2020-12-26,2020,Q4,154106.0,132507.0,1.16
Apple Inc.,320193,2021-03-27,2021,Q1,121465.0,106385.0,1.14
Apple Inc.,320193,2021-06-26,2021,Q2,114423.0,107754.0,1.06
Apple Inc.,320193,2021-09-25,2021,Q3,134836.0,125481.0,1.07
Apple Inc.,320193,2021-12-25,2021,Q4,153154.0,147574.0,1.04
Apple Inc.,320193,2022-03-26,2022,Q1,118180.0,127508.0,0.93
Apple Inc.,320193,2022-06-25,2022,Q2,112292.0,129873.0,0.86
Apple Inc.,320193,2022-09-24,2022,Q3,135405.0,153982.0,0.88
Apple Inc.,320193,2022-12-31,2022,Q4,128777.0,137286.0,0.94
Apple Inc.,320193,2023-04-01,2023,Q1,112913.0,120075.0,0.94
Apple Inc.,320193,2023-07-01,2023,Q2,122659.0,124963.0,0.98
Apple Inc.,320193,2023-09-30,2023,Q3,143566.0,145308.0,0.99
Apple Inc.,320193,2023-12-30,2023,Q4,143692.0,133973.0,1.07
