ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
Apple Inc.,320193,2015-09-26,2015,5,-17716.0,-56274.0,81266.0
Apple Inc.,320193,2016-09-24,2016,5,-20890.0,-45977.0,66231.0
Apple Inc.,320193,2017-09-30,2017,5,-17974.0,-46446.0,64225.0
Apple Inc.,320193,2018-09-29,2018,5,-87876.0,16066.0,77434.0
Apple Inc.,320193,2019-09-28,2019,5,-90976.0,45896.0,69391.0
Apple Inc.,320193,2020-09-26,2020,5,-86820.0,-4289.0,80674.0
Apple Inc.,320193,2021-09-25,2021,5,-93353.0,-14545.0,104038.0
Apple Inc.,320193,2022-09-24,2022,5,-110749.0,-22354.0,122151.0
Apple Inc.,320193,2023-09-30,2023,5,-108488.0,3705.0,110543.0
