ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
"Tesla, Inc.",1318605,2014-03-31,2014,Q1,3156.047,1413.47,2.23
"Tesla, Inc.",1318605,2014-06-30,2014,Q2,3441.694,1575.85,2.18
"Tesla, Inc.",1318605,2014-09-30,2014,Q3,3362.914,1839.777,1.83
"Tesla, Inc.",1318605,2014-12-31,2014,Q4,3180.073,2107.166,1.51
"Tesla, Inc.",1318605,2015-03-31,2015,Q1,2921.417,2192.381,1.33
"Tesla, Inc.",1318605,2015-06-30,2015,Q2,2628.621,2384.388,1.1
"Tesla, Inc.",1318605,2015-09-30,2015,Q3,2998.795,2553.771,1.17
"Tesla, Inc.",1318605,2015-12-31,2015,Q4,2782.006,2811.035,0.99
"Tesla, Inc.",1318605,2016-03-31,2016,Q1,3239.543,3187.699,1.02
"Tesla, Inc.",1318605,2016-06-30,2016,Q2,5203.705,3766.404,1.38
"Tesla, Inc.",1318605,2016-09-30,2016,Q3,5172.412,4082.39,1.27
"Tesla, Inc.",1318605,2016-12-31,2016,Q4,6259.796,5827.005,1.07
"Tesla, Inc.",1318605,2017-03-31,2017,Q1,7027.889,6245.439,1.13
"Tesla, Inc.",1318605,2017-06-30,2017,Q2,6359.444,6546.355,0.97
"Tesla, Inc.",1318605,2017-09-30,2017,Q3,7068.733,6468.94,1.09
"Tesla, Inc.",1318605,2017-12-31,2017,Q4,6570.52,7674.67,0.86
"Tesla, Inc.",1318605,2018-03-31,2018,Q1,6383.92,8650.359,0.74
"Tesla, Inc.",1318605,2018-06-30,2018,Q2,6699.797,9141.362,0.73
"Tesla, Inc.",1318605,2018-09-30,2018,Q3,7920.491,9775.324,0.81
"Tesla, Inc.",1318605,2018-12-31,2018,Q4,8307.0,9993.0,0.83
"Tesla, Inc.",1318605,2019-03-31,2019,Q1,7677.822,9242.8,0.83
"Tesla, Inc.",1318605,2019-06-30,2019,Q2,10181.952,9588.773,1.06
"Tesla, Inc.",1318605,2019-09-30,2019,Q3,10940.0,10146.0,1.08
"Tesla, Inc.",1318605,2019-12-31,2019,Q4,12103.0,10667.0,1.13
"Tesla, Inc.",1318605,2020-03-31,2020,Q1,14893.0,11986.0,1.24
"Tesla, Inc.",1318605,2020-06-30,2020,Q2,15336.0,12270.0,1.25
"Tesla, Inc.",1318605,2020-09-30,2020,Q3,21744.0,13302.0,1.63
"Tesla, Inc.",1318605,2020-12-31,2020,Q4,26717.0,14248.0,1.88
"Tesla, Inc.",1318605,2021-03-31,2021,Q1,24705.0,14877.0,1.66
"Tesla, Inc.",1318605,2021-06-30,2021,Q2,24693.0,16371.0,1.51
"Tesla, Inc.",1318605,2021-09-30,2021,Q3,25002.0,18051.0,1.39
"Tesla, Inc.",1318605,2021-12-31,2021,Q4,27100.0,19705.0,1.38
"Tesla, Inc.",1318605,2022-03-31,2022,Q1,29050.0,21455.0,1.35
"Tesla, Inc.",1318605,2022-06-30,2022,Q2,31222.0,21821.0,1.43
"Tesla, Inc.",1318605,2022-09-30,2022,Q3,35990.0,24611.0,1.46
"Tesla, Inc.",1318605,2022-12-31,2022,Q4,40917.0,26709.0,1.53
"Tesla, Inc.",1318605,2023-03-31,2023,Q1,42997.0,27436.0,1.57
"Tesla, Inc.",1318605,2023-06-30,2023,Q2,43875.0,27592.0,1.59
"Tesla, Inc.",1318605,2023-09-30,2023,Q3,45026.0,26640.0,1.69
"Tesla, Inc.",1318605,2023-12-31,2023,Q4,49616.0,28748.0,1.73
