ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
SNOWFLAKE INC.,1640147,2020-01-31,2019,Q4,665.194,416.455,1.6
SNOWFLAKE INC.,1640147,2020-10-31,2020,Q3,4986.771,547.659,9.11
SNOWFLAKE INC.,1640147,2021-01-31,2020,Q4,4300.652,789.264,5.45
SNOWFLAKE INC.,1640147,2021-04-30,2021,Q1,4221.336,776.998,5.43
SNOWFLAKE INC.,1640147,2021-07-31,2021,Q2,4508.102,875.738,5.15
SNOWFLAKE INC.,1640147,2021-10-31,2021,Q3,4308.257,958.735,4.49
SNOWFLAKE INC.,1640147,2022-01-31,2021,Q4,4598.643,1397.093,3.29
SNOWFLAKE INC.,1640147,2022-04-30,2022,Q1,4341.733,1363.718,3.18
SNOWFLAKE INC.,1640147,2022-07-31,2022,Q2,4503.697,1401.436,3.21
SNOWFLAKE INC.,1640147,2022-10-31,2022,Q3,4558.904,1479.042,3.08
SNOWFLAKE INC.,1640147,2023-01-31,2022,Q4,4984.69,1993.517,2.5
SNOWFLAKE INC.,1640147,2023-04-30,2023,Q1,4569.547,1887.541,2.42
SNOWFLAKE INC.,1640147,2023-07-31,2023,Q2,4404.951,1913.312,2.3
SNOWFLAKE INC.,1640147,2023-10-31,2023,Q3,4312.283,2032.672,2.12
