ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
Oracle Corporation,1341439,2016-05-31,2015,5,-9980.0,-5154.0,13685.0
Oracle Corporation,1341439,2017-05-31,2016,5,9086.0,-21494.0,14126.0
Oracle Corporation,1341439,2018-05-31,2017,5,-9982.0,-5625.0,15386.0
Oracle Corporation,1341439,2019-05-31,2018,5,-42056.0,26557.0,14551.0
Oracle Corporation,1341439,2020-05-31,2019,5,-6132.0,9843.0,13139.0
Oracle Corporation,1341439,2021-05-31,2020,5,-10378.0,-13098.0,15887.0
Oracle Corporation,1341439,2022-05-31,2021,5,-29126.0,11220.0,9539.0
Oracle Corporation,1341439,2023-05-31,2022,5,7910.0,-36484.0,17165.0
