ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
"HOME DEPOT, INC.",354950,2014-02-02,2013,Q4,15279.0,10749.0,1.42
"HOME DEPOT, INC.",354950,2014-05-04,2014,Q1,17515.0,13265.0,1.32
"HOME DEPOT, INC.",354950,2014-08-03,2014,Q2,18491.0,12839.0,1.44
"HOME DEPOT, INC.",354950,2014-11-02,2014,Q3,16749.0,12260.0,1.37
"HOME DEPOT, INC.",354950,2015-02-01,2014,Q4,15302.0,11269.0,1.36
"HOME DEPOT, INC.",354950,2015-05-03,2015,Q1,17995.0,17005.0,1.06
"HOME DEPOT, INC.",354950,2015-08-02,2015,Q2,19531.0,16399.0,1.19
"HOME DEPOT, INC.",354950,2015-11-01,2015,Q3,18606.0,15976.0,1.16
"HOME DEPOT, INC.",354950,2016-01-31,2015,Q4,16484.0,12524.0,1.32
"HOME DEPOT, INC.",354950,2016-05-01,2016,Q1,19010.0,15149.0,1.25
"HOME DEPOT, INC.",354950,2016-07-31,2016,Q2,18941.0,14525.0,1.3
"HOME DEPOT, INC.",354950,2016-10-30,2016,Q3,19348.0,14431.0,1.34
"HOME DEPOT, INC.",354950,2017-01-29,2016,Q4,17724.0,14133.0,1.25
"HOME DEPOT, INC.",354950,2017-04-30,2017,Q1,19896.0,16438.0,1.21
"HOME DEPOT, INC.",354950,2017-07-30,2017,Q2,20511.0,15823.0,1.3
"HOME DEPOT, INC.",354950,2017-10-29,2017,Q3,19682.0,16002.0,1.23
"HOME DEPOT, INC.",354950,2018-01-28,2017,Q4,18933.0,16194.0,1.17
"HOME DEPOT, INC.",354950,2018-04-29,2018,Q1,21214.0,18133.0,1.17
"HOME DEPOT, INC.",354950,2018-07-29,2018,Q2,20802.0,18426.0,1.13
"HOME DEPOT, INC.",354950,2018-10-28,2018,Q3,19809.0,18196.0,1.09
"HOME DEPOT, INC.",354950,2019-02-03,2018,Q4,18529.0,16716.0,1.11
"HOME DEPOT, INC.",354950,2019-05-05,2019,Q1,20553.0,19673.0,1.04
"HOME DEPOT, INC.",354950,2019-08-04,2019,Q2,20699.0,18798.0,1.1
"HOME DEPOT, INC.",354950,2019-11-03,2019,Q3,21174.0,19565.0,1.08
"HOME DEPOT, INC.",354950,2020-02-02,2019,Q4,19810.0,18375.0,1.08
"HOME DEPOT, INC.",354950,2020-05-03,2020,Q1,27277.0,23348.0,1.17
"HOME DEPOT, INC.",354950,2020-08-02,2020,Q2,31361.0,24199.0,1.3
"HOME DEPOT, INC.",354950,2020-11-01,2020,Q3,34505.0,25395.0,1.36
"HOME DEPOT, INC.",354950,2021-01-31,2020,Q4,28477.0,23166.0,1.23
"HOME DEPOT, INC.",354950,2021-05-02,2021,Q1,30672.0,27758.0,1.1
"HOME DEPOT, INC.",354950,2021-08-01,2021,Q2,28262.0,26666.0,1.06
"HOME DEPOT, INC.",354950,2021-10-31,2021,Q3,30466.0,26903.0,1.13
"HOME DEPOT, INC.",354950,2022-01-30,2021,Q4,29055.0,28693.0,1.01
"HOME DEPOT, INC.",354950,2022-05-01,2022,Q1,33867.0,30387.0,1.11
"HOME DEPOT, INC.",354950,2022-07-31,2022,Q2,32941.0,27834.0,1.18
"HOME DEPOT, INC.",354950,2022-10-30,2022,Q3,33681.0,24280.0,1.39
"HOME DEPOT, INC.",354950,2023-01-29,2022,Q4,32471.0,23110.0,1.41
"HOME DEPOT, INC.",354950,2023-04-30,2023,Q1,32423.0,25446.0,1.27
"HOME DEPOT, INC.",354950,2023-07-30,2023,Q2,31830.0,24227.0,1.31
"HOME DEPOT, INC.",354950,2023-10-29,2023,Q3,30682.0,23572.0,1.3
