ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
BOEING CO,12927,2014-12-31,2014,5,-8593.0,2467.0,8858.0
BOEING CO,12927,2015-12-31,2015,5,-7920.0,-1846.0,9363.0
BOEING CO,12927,2016-12-31,2016,5,-9587.0,-3378.0,10496.0
BOEING CO,12927,2017-12-31,2017,5,-11350.0,-2058.0,13346.0
BOEING CO,12927,2018-12-31,2018,5,-11722.0,-4621.0,15322.0
BOEING CO,12927,2019-12-31,2019,5,5739.0,-1530.0,-2446.0
BOEING CO,12927,2020-12-31,2020,5,34955.0,-18366.0,-18410.0
BOEING CO,12927,2021-12-31,2021,5,-5600.0,9324.0,-3416.0
BOEING CO,12927,2022-12-31,2022,5,-1266.0,4370.0,3512.0
BOEING CO,12927,2023-12-31,2023,5,-5487.0,-2437.0,5960.0
