ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
VISA INC.,1403161,2014-09-30,2014,5,-6478.0,-941.0,7205.0
VISA INC.,1403161,2015-09-30,2015,5,-3603.0,-1435.0,6584.0
VISA INC.,1403161,2016-09-30,2016,5,7477.0,-10916.0,5574.0
VISA INC.,1403161,2017-09-30,2017,5,-5924.0,735.0,9317.0
VISA INC.,1403161,2018-09-30,2018,5,-10790.0,-3084.0,12941.0
VISA INC.,1403161,2019-09-30,2019,5,-12061.0,-591.0,12784.0
VISA INC.,1403161,2020-09-30,2020,5,-3968.0,1427.0,10440.0
VISA INC.,1403161,2021-09-30,2021,5,-14410.0,-152.0,15227.0
VISA INC.,1403161,2022-09-30,2022,5,-12696.0,-4288.0,18849.0
VISA INC.,1403161,2023-09-30,2023,5,-17772.0,-2006.0,20755.0
