ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
TERADATA CORPORATION,816761,2014-12-31,2014,5,-326.0,-198.0,680.0
TERADATA CORPORATION,816761,2015-12-31,2015,5,-324.0,-52.0,401.0
TERADATA CORPORATION,816761,2017-12-31,2017,5,-109.0,-108.0,324.0
TERADATA CORPORATION,816761,2018-12-31,2018,5,-554.0,-163.0,364.0
TERADATA CORPORATION,816761,2019-12-31,2019,5,-308.0,-59.0,148.0
TERADATA CORPORATION,816761,2020-12-31,2020,5,-186.0,-51.0,267.0
TERADATA CORPORATION,816761,2021-12-31,2021,5,-356.0,-31.0,463.0
TERADATA CORPORATION,816761,2022-12-31,2022,5,-381.0,-18.0,419.0
TERADATA CORPORATION,816761,2023-12-31,2023,5,-383.0,-49.0,375.0
