ENTITY,CIK,DATE,Year,Quarter,ASSETS_CURRENT,LIABILITIES_CURRENT,STOCKHOLDERS_EQUITY,ASSET_TO_LIABILITY_RATIO,DEBT_TO_EQUITY_RATIO
"Tesla, Inc.",1318605,2014-03-31,2014,Q1,3156.047,1413.47,912.056,2.2,1.5
"Tesla, Inc.",1318605,2014-06-30,2014,Q2,3441.694,1575.85,952.333,2.2,1.7
"Tesla, Inc.",1318605,2014-09-30,2014,Q3,3362.914,1839.777,958.094,1.8,1.9
"Tesla, Inc.",1318605,2014-12-31,2014,Q4,3180.073,2107.166,911.71,1.5,2.3
"Tesla, Inc.",1318605,2015-03-31,2015,Q1,2921.417,2192.381,825.997,1.3,2.7
"Tesla, Inc.",1318605,2015-06-30,2015,Q2,2628.621,2384.388,715.934,1.1,3.3
"Tesla, Inc.",1318605,2015-09-30,2015,Q3,2998.795,2553.771,1314.656,1.2,1.9
"Tesla, Inc.",1318605,2015-12-31,2015,Q4,2782.006,2811.035,1083.704,1.0,2.6
"Tesla, Inc.",1318605,2016-03-31,2016,Q1,3239.543,3187.699,970.365,1.0,3.3
"Tesla, Inc.",1318605,2016-06-30,2016,Q2,5203.705,3766.404,2520.294,1.4,1.5
"Tesla, Inc.",1318605,2016-09-30,2016,Q3,5172.412,4082.39,2680.488,1.3,1.5
"Tesla, Inc.",1318605,2016-12-31,2016,Q4,6259.796,5827.005,4752.911,1.1,1.2
"Tesla, Inc.",1318605,2017-03-31,2017,Q1,7027.889,6245.439,4987.719,1.1,1.3
"Tesla, Inc.",1318605,2017-06-30,2017,Q2,6359.444,6546.355,5105.752,1.0,1.3
"Tesla, Inc.",1318605,2017-09-30,2017,Q3,7068.733,6468.94,4711.48,1.1,1.4
"Tesla, Inc.",1318605,2017-12-31,2017,Q4,6570.52,7674.67,4237.242,0.9,1.8
"Tesla, Inc.",1318605,2018-03-31,2018,Q1,6383.92,8650.359,4450.695,0.7,1.9
"Tesla, Inc.",1318605,2018-06-30,2018,Q2,6699.797,9141.362,3906.421,0.7,2.3
"Tesla, Inc.",1318605,2018-09-30,2018,Q3,7920.491,9775.324,4508.838,0.8,2.2
"Tesla, Inc.",1318605,2018-12-31,2018,Q4,8307.0,9993.0,4923.0,0.8,2.0
"Tesla, Inc.",1318605,2019-03-31,2019,Q1,7677.822,9242.8,4605.596,0.8,2.0
"Tesla, Inc.",1318605,2019-06-30,2019,Q2,10181.952,9588.773,5715.393,1.1,1.7
"Tesla, Inc.",1318605,2019-09-30,2019,Q3,10940.0,10146.0,6040.0,1.1,1.7
"Tesla, Inc.",1318605,2019-12-31,2019,Q4,12103.0,10667.0,6618.0,1.1,1.6
"Tesla, Inc.",1318605,2020-03-31,2020,Q1,14893.0,11986.0,9173.0,1.2,1.3
"Tesla, Inc.",1318605,2020-06-30,2020,Q2,15336.0,12270.0,9855.0,1.2,1.2
"Tesla, Inc.",1318605,2020-09-30,2020,Q3,21744.0,13302.0,16031.0,1.6,0.8
"Tesla, Inc.",1318605,2020-12-31,2020,Q4,26717.0,14248.0,22225.0,1.9,0.6
"Tesla, Inc.",1318605,2021-03-31,2021,Q1,24705.0,14877.0,23017.0,1.7,0.6
"Tesla, Inc.",1318605,2021-06-30,2021,Q2,24693.0,16371.0,24804.0,1.5,0.7
"Tesla, Inc.",1318605,2021-09-30,2021,Q3,25002.0,18051.0,27053.0,1.4,0.7
"Tesla, Inc.",1318605,2021-12-31,2021,Q4,27100.0,19705.0,30189.0,1.4,0.7
"Tesla, Inc.",1318605,2022-03-31,2022,Q1,29050.0,21455.0,34085.0,1.4,0.6
"Tesla, Inc.",1318605,2022-06-30,2022,Q2,31222.0,21821.0,36376.0,1.4,0.6
"Tesla, Inc.",1318605,2022-09-30,2022,Q3,35990.0,24611.0,39851.0,1.5,0.6
"Tesla, Inc.",1318605,2022-12-31,2022,Q4,40917.0,26709.0,44704.0,1.5,0.6
"Tesla, Inc.",1318605,2023-03-31,2023,Q1,42997.0,27436.0,48054.0,1.6,0.6
"Tesla, Inc.",1318605,2023-06-30,2023,Q2,43875.0,27592.0,51130.0,1.6,0.5
"Tesla, Inc.",1318605,2023-09-30,2023,Q3,45026.0,26640.0,53466.0,1.7,0.5
"Tesla, Inc.",1318605,2023-12-31,2023,Q4,49616.0,28748.0,62634.0,1.7,0.5
