ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
GameStop Corp.,1326380,2014-02-01,2013,Q4,220.5,358.4,,
GameStop Corp.,1326380,2014-05-03,2014,Q1,68.0,105.9,,
GameStop Corp.,1326380,2014-08-02,2014,Q2,24.6,36.7,,
GameStop Corp.,1326380,2014-11-01,2014,Q3,56.4,89.8,,
GameStop Corp.,1326380,2015-01-31,2014,Q4,244.1,385.9,,
GameStop Corp.,1326380,2015-05-02,2015,Q1,73.8,123.9,,
GameStop Corp.,1326380,2015-08-01,2015,Q2,25.3,51.7,,
GameStop Corp.,1326380,2015-10-31,2015,Q3,55.9,90.7,,
GameStop Corp.,1326380,2016-01-30,2015,Q4,247.8,381.9,,
GameStop Corp.,1326380,2016-04-30,2016,Q1,65.8,114.0,,
GameStop Corp.,1326380,2016-07-30,2016,Q2,27.9,58.3,,
GameStop Corp.,1326380,2016-10-29,2016,Q3,50.8,98.8,,
GameStop Corp.,1326380,2017-01-28,2016,Q4,208.7,286.6,,
GameStop Corp.,1326380,2017-04-29,2017,Q1,59.0,89.3,,
GameStop Corp.,1326380,2017-07-29,2017,Q2,22.2,26.9,,
GameStop Corp.,1326380,2017-10-28,2017,Q3,59.4,71.9,,
GameStop Corp.,1326380,2018-02-03,2017,Q4,-105.9,251.1,,
GameStop Corp.,1326380,2018-05-05,2018,Q1,28.2,46.5,1785.8,1.58
GameStop Corp.,1326380,2018-08-04,2018,Q2,-24.9,1.5,1501.1,-1.66
GameStop Corp.,1326380,2018-11-03,2018,Q3,-488.6,-517.9,1935.4,-25.25
GameStop Corp.,1326380,2019-02-02,2018,Q4,-187.7,-232.1,3063.0,-6.13
GameStop Corp.,1326380,2019-05-04,2019,Q1,6.8,17.5,1547.7,0.44
GameStop Corp.,1326380,2019-08-03,2019,Q2,-415.3,-446.7,1285.7,-32.3
GameStop Corp.,1326380,2019-11-02,2019,Q3,-83.4,-45.6,1438.5,-5.8
GameStop Corp.,1326380,2020-02-01,2019,Q4,21.0,75.2,2194.1,0.96
GameStop Corp.,1326380,2020-05-02,2020,Q1,-165.7,-108.0,1021.0,-16.23
GameStop Corp.,1326380,2020-08-01,2020,Q2,-111.3,-85.6,942.0,-11.82
GameStop Corp.,1326380,2020-10-31,2020,Q3,-18.8,-63.0,1004.7,-1.87
GameStop Corp.,1326380,2021-01-30,2020,Q4,80.5,18.8,2122.1,3.79
GameStop Corp.,1326380,2021-05-01,2021,Q1,-66.8,-40.8,1276.8,-5.23
GameStop Corp.,1326380,2021-07-31,2021,Q2,-61.6,-58.0,1183.4,-5.21
GameStop Corp.,1326380,2021-10-30,2021,Q3,-105.4,-102.9,1296.6,-8.13
GameStop Corp.,1326380,2022-04-30,2022,Q1,-157.9,-153.7,1378.4,-11.46
GameStop Corp.,1326380,2022-07-30,2022,Q2,-108.7,-107.8,1136.0,-9.57
GameStop Corp.,1326380,2022-10-29,2022,Q3,-94.7,-96.3,1186.4,-7.98
GameStop Corp.,1326380,2023-04-29,2023,Q1,-50.5,-58.4,1237.1,-4.08
GameStop Corp.,1326380,2023-07-29,2023,Q2,-2.8,-16.6,1163.8,-0.24
GameStop Corp.,1326380,2023-10-28,2023,Q3,-3.1,-14.7,1078.3,-0.29
