ENTITY,CIK,DATE,Year,Quarter,CURRENT_ASSETS,CURRENT_LIABILITIES,CURRENT_RATIO
GameStop Corp.,1326380,2014-02-01,2013,Q4,1949.6,1726.0,1.13
GameStop Corp.,1326380,2014-05-03,2014,Q1,1642.4,1424.5,1.15
GameStop Corp.,1326380,2014-08-02,2014,Q2,1586.3,1447.7,1.1
GameStop Corp.,1326380,2014-11-01,2014,Q3,2443.7,2151.4,1.14
GameStop Corp.,1326380,2015-01-31,2014,Q4,2062.5,1639.7,1.26
GameStop Corp.,1326380,2015-05-02,2015,Q1,1755.5,1345.7,1.3
GameStop Corp.,1326380,2015-08-01,2015,Q2,1500.3,1344.5,1.12
GameStop Corp.,1326380,2015-10-31,2015,Q3,2493.1,2371.7,1.05
GameStop Corp.,1326380,2016-01-30,2015,Q4,1937.5,1794.4,1.08
GameStop Corp.,1326380,2016-04-30,2016,Q1,2037.1,1366.0,1.49
GameStop Corp.,1326380,2016-07-30,2016,Q2,1684.4,1056.5,1.59
GameStop Corp.,1326380,2016-10-29,2016,Q3,2358.8,2151.1,1.1
GameStop Corp.,1326380,2017-01-28,2016,Q4,2140.7,1761.5,1.22
GameStop Corp.,1326380,2017-04-29,2017,Q1,1847.0,1465.6,1.26
GameStop Corp.,1326380,2017-07-29,2017,Q2,1790.6,1337.7,1.34
GameStop Corp.,1326380,2017-10-28,2017,Q3,2671.0,2217.5,1.2
GameStop Corp.,1326380,2018-02-03,2017,Q4,3018.4,1930.8,1.56
GameStop Corp.,1326380,2018-05-05,2018,Q1,2327.3,1229.6,1.89
GameStop Corp.,1326380,2018-08-04,2018,Q2,2324.8,1290.8,1.8
GameStop Corp.,1326380,2018-11-03,2018,Q3,3263.0,2556.7,1.28
GameStop Corp.,1326380,2019-02-02,2018,Q4,3127.7,2181.1,1.43
GameStop Corp.,1326380,2019-05-04,2019,Q1,1920.1,1297.3,1.48
GameStop Corp.,1326380,2019-08-03,2019,Q2,1667.6,1216.8,1.37
GameStop Corp.,1326380,2019-11-02,2019,Q3,1863.1,1573.5,1.18
GameStop Corp.,1326380,2020-02-01,2019,Q4,1633.7,1237.7,1.32
GameStop Corp.,1326380,2020-05-02,2020,Q1,1419.9,1519.7,0.93
GameStop Corp.,1326380,2020-08-01,2020,Q2,1379.9,1312.2,1.05
GameStop Corp.,1326380,2020-10-31,2020,Q3,1651.9,1576.7,1.05
GameStop Corp.,1326380,2021-01-30,2020,Q4,1551.2,1342.7,1.16
GameStop Corp.,1326380,2021-05-01,2021,Q1,1657.2,1217.9,1.36
GameStop Corp.,1326380,2021-07-31,2021,Q2,2657.0,1194.3,2.22
GameStop Corp.,1326380,2021-10-30,2021,Q3,2913.1,1533.3,1.9
GameStop Corp.,1326380,2022-01-29,2021,Q4,2598.8,1354.7,1.92
GameStop Corp.,1326380,2022-04-30,2022,Q1,2329.6,1126.9,2.07
GameStop Corp.,1326380,2022-07-30,2022,Q2,2019.2,932.4,2.17
GameStop Corp.,1326380,2022-10-29,2022,Q3,2581.8,1588.7,1.63
GameStop Corp.,1326380,2023-01-28,2022,Q4,2323.7,1339.1,1.74
GameStop Corp.,1326380,2023-04-29,2023,Q1,2254.6,1319.5,1.71
GameStop Corp.,1326380,2023-07-29,2023,Q2,2005.2,1071.4,1.87
GameStop Corp.,1326380,2023-10-28,2023,Q3,2376.8,1437.8,1.65
