ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
LOCKHEED MARTIN CORPORATION,936468,2014-03-30,2014,Q1,933.0,1432.0,,
LOCKHEED MARTIN CORPORATION,936468,2014-06-29,2014,Q2,889.0,1426.0,,
LOCKHEED MARTIN CORPORATION,936468,2014-09-28,2014,Q3,888.0,1392.0,,
LOCKHEED MARTIN CORPORATION,936468,2014-12-31,2014,Q4,904.0,1342.0,,
LOCKHEED MARTIN CORPORATION,936468,2015-03-29,2015,Q1,878.0,1147.0,,
LOCKHEED MARTIN CORPORATION,936468,2015-06-28,2015,Q2,929.0,1273.0,,
LOCKHEED MARTIN CORPORATION,936468,2015-09-27,2015,Q3,865.0,1192.0,,
LOCKHEED MARTIN CORPORATION,936468,2015-12-31,2015,Q4,933.0,1100.0,,
LOCKHEED MARTIN CORPORATION,936468,2016-03-27,2016,Q1,898.0,1158.0,,
LOCKHEED MARTIN CORPORATION,936468,2016-06-26,2016,Q2,1021.0,1375.0,,
LOCKHEED MARTIN CORPORATION,936468,2016-09-25,2016,Q3,2395.0,1588.0,,
LOCKHEED MARTIN CORPORATION,936468,2016-12-31,2016,Q4,988.0,1428.0,,
LOCKHEED MARTIN CORPORATION,936468,2017-03-26,2017,Q1,789.0,1402.0,,
LOCKHEED MARTIN CORPORATION,936468,2017-06-25,2017,Q2,955.0,1716.0,12563.0,7.6
LOCKHEED MARTIN CORPORATION,936468,2017-09-24,2017,Q3,963.0,1677.0,,
LOCKHEED MARTIN CORPORATION,936468,2017-12-31,2017,Q4,-744.0,1949.0,,
LOCKHEED MARTIN CORPORATION,936468,2018-03-25,2018,Q1,1157.0,1725.0,,
LOCKHEED MARTIN CORPORATION,936468,2018-06-24,2018,Q2,1163.0,1795.0,13398.0,8.68
LOCKHEED MARTIN CORPORATION,936468,2018-09-30,2018,Q3,1473.0,1963.0,,
LOCKHEED MARTIN CORPORATION,936468,2018-12-31,2018,Q4,1253.0,1851.0,,
LOCKHEED MARTIN CORPORATION,936468,2019-03-31,2019,Q1,1704.0,2283.0,,
LOCKHEED MARTIN CORPORATION,936468,2019-06-30,2019,Q2,1420.0,2008.0,,
LOCKHEED MARTIN CORPORATION,936468,2019-09-29,2019,Q3,1608.0,2105.0,,
LOCKHEED MARTIN CORPORATION,936468,2019-12-31,2019,Q4,1498.0,2149.0,,
LOCKHEED MARTIN CORPORATION,936468,2020-03-29,2020,Q1,1717.0,2122.0,,
LOCKHEED MARTIN CORPORATION,936468,2020-06-28,2020,Q2,1626.0,2086.0,,
LOCKHEED MARTIN CORPORATION,936468,2020-09-27,2020,Q3,1698.0,2147.0,,
LOCKHEED MARTIN CORPORATION,936468,2020-12-31,2020,Q4,1792.0,2289.0,,
LOCKHEED MARTIN CORPORATION,936468,2021-03-28,2021,Q1,1837.0,2182.0,,
LOCKHEED MARTIN CORPORATION,936468,2021-06-27,2021,Q2,1815.0,2192.0,,
LOCKHEED MARTIN CORPORATION,936468,2021-09-26,2021,Q3,614.0,2294.0,,
LOCKHEED MARTIN CORPORATION,936468,2022-03-27,2022,Q1,1733.0,1933.0,,
LOCKHEED MARTIN CORPORATION,936468,2022-06-26,2022,Q2,309.0,1963.0,,
LOCKHEED MARTIN CORPORATION,936468,2022-09-25,2022,Q3,1778.0,2159.0,,
LOCKHEED MARTIN CORPORATION,936468,2023-03-26,2023,Q1,1689.0,2037.0,,
LOCKHEED MARTIN CORPORATION,936468,2023-06-25,2023,Q2,1681.0,2135.0,,
LOCKHEED MARTIN CORPORATION,936468,2023-09-24,2023,Q3,1684.0,2042.0,,
LOCKHEED MARTIN CORPORATION,936468,2024-03-31,2024,Q1,1545.0,2029.0,,
